idspecies,ecofunct_group,sourceid
51270,Phytophagous,17500
51271,Detritovorous,7272
51272,Parasite,17500
51274,Phytophagous,17500
51275,Detritovorous,7272
51276,Detritovorous,7272
51277,Phytophagous,7272
51278,Phytophagous,17500
51279,Other,17500
51280,Phytophagous,17500
51281,Detritovorous,7272
51282,Detritovorous,17500
51283,Phytophagous,7272
51284,Parasite,17500
51285,Detritovorous,17500
51286,Parasite,7272
51287,Detritovorous,17500
51288,Detritovorous,17500
51289,Detritovorous,17500
51290,Detritovorous,17500
51291,Detritovorous,17500
51292,Detritovorous,17500
51293,Detritovorous,17500
51294,Detritovorous,17500
51295,Detritovorous,17500
51296,Detritovorous,17500
51297,Detritovorous,17500
51298,Phytophagous,7272
51299,Phytophagous,17500
51300,Phytophagous,7272
